id;key;1::Spanish;
661;menuBackup;Backup;Copia de seguridad
662;btnBackup;Backup;Copia de seguridad
663;lblBackupDatabase;Backup database;Copia de seguridad base de datos
664;lblBackupFiles;Backup files;Archivos de copia de seguridad
665;gridChooseAction;Choose Action;Elija Acción
666;gridGotoPage;Go to page:;Ir a la página:
667;gridTotalItems;Total items:;Total de artículos:
668;gridItemsPerPage;Items per page;Artículos por página
669;gridPrevPage;Prev page;Página anterior
670;gridPrev;"&laquo; Prev";"&laquo; Anterior"
671;gridNextPage;Next page;Página siguiente
672;gridNext;"Next &raquo;";"Siguiente &raquo;"
673;gridDeleteConfirmation;Delete confirmation;Eliminar confirmación
674;gridConfirmationTitle;Are you sure you want to delete selected record?;¿Está seguro de que desea eliminar el registro seleccionado?
675;gridActionTitle;Action confirmation;Confirmación de la acción
676;gridBtnOk;OK;OK
677;gridBtnCancel;Cancel;Cancelar
678;gridBtnDelete;Delete;Eliminar
679;gridEmptyResult;No records found;No se encontraron registros
680;multilangTooltip;Lorem ipsum dolor sit amet, consectetur adipiscing elit.;Lorem ipsum dolor sit amet, consectetur adipiscing elit.
681;lblIp;IP address;Dirección IP
682;lblUserCreated;Registration date/time;Fecha/hora de inscripción
683;u_statarr_ARRAY_T;Active;Activo
684;u_statarr_ARRAY_F;Inactive;Inactivo
685;filter_ARRAY_active;Active;Activo
686;filter_ARRAY_inactive;Inactive;Inactivo
687;_yesno_ARRAY_T;Yes;Sí
688;_yesno_ARRAY_F;No;No
689;personal_titles_ARRAY_mr;Mr.;Sr.
690;personal_titles_ARRAY_mrs;Mrs.;Sra.
691;personal_titles_ARRAY_miss;Miss;Srta.
692;personal_titles_ARRAY_ms;Ms.;Sra.
693;personal_titles_ARRAY_dr;Dr.;Dr.
694;personal_titles_ARRAY_prof;Prof.;Prof.
695;personal_titles_ARRAY_rev;Rev.;Rev.
696;personal_titles_ARRAY_other;Other;Otro
697;timezones_ARRAY_-43200;GMT-12:00;GMT-12:00
698;timezones_ARRAY_-39600;GMT-11:00;GMT-11:00
699;timezones_ARRAY_-36000;GMT-10:00;GMT-10:00
700;timezones_ARRAY_-32400;GMT-09:00;GMT-09:00
701;timezones_ARRAY_-28800;GMT-08:00;GMT-08:00
702;timezones_ARRAY_-25200;GMT-07:00;GMT-07:00
703;timezones_ARRAY_-21600;GMT-06:00;GMT-06:00
704;timezones_ARRAY_-18000;GMT-05:00;GMT-05:00
705;timezones_ARRAY_-14400;GMT-04:00;GMT-04:00
706;timezones_ARRAY_-10800;GMT-03:00;GMT-03:00
707;timezones_ARRAY_-7200;GMT-02:00;GMT-02:00
708;timezones_ARRAY_-3600;GMT-01:00;GMT-01:00
709;timezones_ARRAY_0;GMT;GMT
710;timezones_ARRAY_3600;GMT+01:00;GMT+01:00
711;timezones_ARRAY_7200;GMT+02:00;GMT+02:00
712;timezones_ARRAY_10800;GMT+03:00;GMT+03:00
713;timezones_ARRAY_14400;GMT+04:00;GMT+04:00
714;timezones_ARRAY_18000;GMT+05:00;GMT+05:00
715;timezones_ARRAY_21600;GMT+06:00;GMT+06:00
716;timezones_ARRAY_25200;GMT+07:00;GMT+07:00
717;timezones_ARRAY_28800;GMT+08:00;GMT+08:00
718;timezones_ARRAY_32400;GMT+09:00;GMT+09:00
719;timezones_ARRAY_36000;GMT+10:00;GMT+10:00
720;timezones_ARRAY_39600;GMT+11:00;GMT+11:00
721;timezones_ARRAY_43200;GMT+12:00;GMT+12:00
722;timezones_ARRAY_46800;GMT+13:00;GMT+13:00
723;error_titles_ARRAY_AU01;User updated!;Usuario actualizado!
724;error_titles_ARRAY_AU03;User added!;Usuario añadido!
725;error_titles_ARRAY_AU04;User failed to add.;El usuario no se pudo añadir.
726;error_titles_ARRAY_AU08;User not found.;Usuario no encontrado.
727;error_titles_ARRAY_AO01;Options updated!;Opciones actualizadas!
728;error_titles_ARRAY_AB01;Backup;Copia de seguridad
729;error_titles_ARRAY_AB02;Backup complete!;Copia de seguridad completa!
730;error_titles_ARRAY_AB03;Backup failed!;¡La copia de seguridad falló!
731;error_titles_ARRAY_AB04;Backup failed!;¡La copia de seguridad falló!
732;error_titles_ARRAY_AA10;Account not found!;Cuenta no encontrada!
733;error_titles_ARRAY_AA11;Password send!;Contraseña envíada!
734;error_titles_ARRAY_AA12;Password not send!;Contraseña no enviada!
735;error_titles_ARRAY_AA13;Profile updated!;Perfil actualizado!
736;error_bodies_ARRAY_AU01;All the changes made to this user have been saved.;Todos los cambios realizados a este usuario se han guardado.
737;error_bodies_ARRAY_AU03;All the changes made to this user have been saved.;Todos los cambios realizados a este usuario se han guardado.
738;error_bodies_ARRAY_AU04;We are sorry, but the user has not been added.;Lo sentimos, pero el usuario no ha sido agregado.
739;error_bodies_ARRAY_AU08;User your looking for is missing.;Falta el usuario que busca.
740;error_bodies_ARRAY_AO01;All the changes made to options have been saved.;Todos los cambios realizados en las opciones se han guardado.
741;error_bodies_ARRAY_ALC01;All the changes made to titles have been saved.;Todos los cambios realizados en los títulos se han guardado.
742;error_bodies_ARRAY_AB01;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc at ligula non arcu dignissim pretium. Praesent in magna nulla, in porta leo.;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nunc at ligula non arcu dignissim pretium. Praesent en magna nulla, en porta leo.
743;error_bodies_ARRAY_AB02;All backup files have been saved.;Todos los archivos de copia de seguridad se han guardado.
744;error_bodies_ARRAY_AB03;No option was selected.;No se ha seleccionado ninguna opción.
745;error_bodies_ARRAY_AB04;Backup not performed.;Copia de seguridad no realizada.
746;error_bodies_ARRAY_AA10;Given email address is not associated with any account.;Esta dirección de correo electrónico no está asociada con ninguna cuenta.
747;error_bodies_ARRAY_AA11;For further instructions please check your mailbox.;Para obtener más instrucciones, consulte su buzón de correo.
748;error_bodies_ARRAY_AA12;We're sorry, please try again later.;Lo sentimos, por favor inténtelo de nuevo más tarde.
749;error_bodies_ARRAY_AA13;All the changes made to your profile have been saved.;Todos los cambios realizados en su perfil se han guardado.
750;months_ARRAY_1;January;Enero
751;months_ARRAY_2;February;Febrero
752;months_ARRAY_3;March;Marzo
753;months_ARRAY_4;April;Abril
754;months_ARRAY_5;May;Mayo
755;months_ARRAY_6;June;Junio
756;months_ARRAY_7;July;Julio
757;months_ARRAY_8;August;Agosto
758;months_ARRAY_9;September;Septiembre
759;months_ARRAY_10;October;Octubre
760;months_ARRAY_11;November;Noviembre
761;months_ARRAY_12;December;Diciembre
762;days_ARRAY_0;Sunday;Domingo
763;days_ARRAY_1;Monday;Lunes
764;days_ARRAY_2;Tuesday;Martes
765;days_ARRAY_3;Wednesday;Miércoles
766;days_ARRAY_4;Thursday;Jueves
767;days_ARRAY_5;Friday;Viernes
768;days_ARRAY_6;Saturday;Sabado
769;day_names_ARRAY_0;S;D
770;day_names_ARRAY_1;M;L
771;day_names_ARRAY_2;T;M
772;day_names_ARRAY_3;W;M
773;day_names_ARRAY_4;T;J
774;day_names_ARRAY_5;F;V
775;day_names_ARRAY_6;S;S
776;short_months_ARRAY_1;Jan;Ene
777;short_months_ARRAY_2;Feb;Feb
778;short_months_ARRAY_3;Mar;Mar
779;short_months_ARRAY_4;Apr;Abr
780;short_months_ARRAY_5;May;May
781;short_months_ARRAY_6;Jun;Jun
782;short_months_ARRAY_7;Jul;Jul
783;short_months_ARRAY_8;Aug;Ago
784;short_months_ARRAY_9;Sep;Sep
785;short_months_ARRAY_10;Oct;Oct
786;short_months_ARRAY_11;Nov;Nov
787;short_months_ARRAY_12;Dec;Dic
788;status_ARRAY_1;You are not loged in.;No has iniciado sesión.
789;status_ARRAY_2;Access denied. You have not requisite rights to.;Acceso denegado. Usted no tiene los derechos necesarios para.
790;status_ARRAY_3;Empty resultset.;Resultados vacíos.
791;status_ARRAY_7;The operation is not allowed in demo mode.;La operación no está permitida en modo de demostración.
792;status_ARRAY_123;Your hosting account does not allow uploading such a large image.;Su cuenta de alojamiento no permite cargar una imagen tan grande.
793;status_ARRAY_999;No permisions to edit the property;No hay permisiones para editar la propiedad
794;status_ARRAY_998;No permisions to edit the reservation;No hay permisiones para editar la reserva
795;status_ARRAY_997;No reservation found;No se ha encontrado ninguna reserva
796;status_ARRAY_996;No property for the reservation found;No se encontró ninguna propiedad para la reserva
797;status_ARRAY_9999;Your registration was successfull.;Su inscripción fue exitosa.
798;status_ARRAY_9998;Your registration was successfull. Your account needs to be approved.;Su inscripción fue exitosa. Su cuenta debe ser aprobada.
799;status_ARRAY_9997;E-Mail address already exist;La dirección de correo electrónico ya existe
800;login_err_ARRAY_1;Wrong username or password;Nombre de usuario o contraseña incorrecto
801;login_err_ARRAY_2;Access denied;Acceso denegado
802;login_err_ARRAY_3;Account is disabled;La cuenta está deshabilitada
803;localeArrays;Arrays titles;Títulos de matrices
804;infoLocalesArraysTitle;Languages Arrays Title;Título Idiomas Matrices
805;infoLocalesArraysBody;Languages Array Body;Cuerpo de matriz de idiomas
806;lnkBack;Back;Regresar
807;locale_order;Order;Orden
808;locale_is_default;Is default;Por defecto
809;locale_flag;Flag;Bandera
810;locale_title;Title;Titulo
811;btnDelete;Delete;Eliminar
812;btnContinue;Continue;Continuar
813;vr_email_taken;Email address is already in use;La dirección de correo electrónico ya está en uso
814;revert_status;Revert status;Restaurar estado
815;lblExport;Export;Exportación
816;menuServices;Services;Servicio
817;menuEmployees;Employees;Empleado
818;service_add;Add service;Añadir servicio
819;lblAll;All;Todo
820;service_name;Service name;Nombre del servicio
821;service_price;Price;Precio
822;service_before;Before;Antes
823;service_after;After;Despues
824;service_total;Total;Total
825;service_length;Length;Longitud
826;service_desc;Service description;Descripción del servicio
827;service_status;Status;Estatus
828;service_employees;Employees;Empleado
829;service_update;Update service;Servicio de actualización
830;is_active_ARRAY_1;Active;Activo
831;is_active_ARRAY_0;Inactive;Inactivo
832;delete_selected;Delete selected;Eliminar seleccionado
833;delete_confirmation;Are you sure you want to delete selected records?;¿Está seguro de que desea eliminar los registros seleccionados?
834;error_bodies_ARRAY_AS08;Service your are looking for is missing.;Falta el servicio que está buscando.
835;error_titles_ARRAY_AS01;Service updated!;Servicio actualizado!
836;error_titles_ARRAY_AS03;Service added!;Servicio añadido!
837;error_titles_ARRAY_AS04;Service failed to add.;Error al añadir el servicio.
838;error_titles_ARRAY_AS08;Service not found.;Servicio no encontrado.
839;error_bodies_ARRAY_AS01;All the changes made to this service have been saved.;Todos los cambios realizados en este servicio se han guardado.
840;error_bodies_ARRAY_AS03;All the changes made to this service have been saved.;Todos los cambios realizados en este servicio se han guardado.
841;error_bodies_ARRAY_AS04;We are sorry, but the service has not been added.;Lo sentimos, pero el servicio no ha sido agregado.
842;error_titles_ARRAY_AS09;Add a service;Añadir un servicio
843;error_bodies_ARRAY_AS09;Fill in the form below to add a new service. You can add title, description, price, length and employees who do this service.;Rellene el siguiente formulario para añadir un nuevo servicio. Puede añadir título, descripción, precio, duración y empleados que realizan este servicio.
844;error_bodies_ARRAY_AS10;Use the form below to modify the service. You can change title, description, price, length and employees who do this service.;Utilice el siguiente formulario para modificar el servicio. Puede cambiar el título, la descripción, el precio, la duración y los empleados que prestan este servicio.
845;error_titles_ARRAY_AS10;Update a service;Actualizar un servicio
846;employee_add;Add employee;Añadir empleado
847;employee_name;Employee name;Nombre del empleado
848;employee_email;Email;Correo
849;employee_phone;Phone;Teléfono
850;employee_company;Company;Empresa
851;employee_services;Services;Servicio
852;employee_status;Status;Estatus
853;employee_update;Update employee;Actualizar empleado
854;error_titles_ARRAY_AE09;Add an employee;Añadir un empleado
855;error_titles_ARRAY_AE10;Update an employee;Actualizar un empleado
856;error_bodies_ARRAY_AE10;Use the form below to update employee's details. You can select the service that this employee does. You can also configure it so an email and/or sms notification is sent to the employee when a booking is made. Each employee can access the Appointment Scheduler and manage his/her bookings only.;Utilice el siguiente formulario para actualizar los detalles de los empleados. Puede seleccionar el servicio que realiza este empleado. También puede configurarlo para que se envíe una notificación de correo electrónico y / o sms al empleado cuando se realiza una reserva. Cada empleado puede acceder al Programador de citas y gestionar sus reservas solamente.
857;error_bodies_ARRAY_AE09;Fill in the form below to add a new employee. You can select the service that this employee does. You can also configure it so an email and/or sms notification is sent to the employee when a booking is made. Each employee can access the Appointment Scheduler and manage his/her bookings only.;Rellene el siguiente formulario para añadir un nuevo empleado. Puede seleccionar el servicio que realiza este empleado. También puede configurarlo para que se envíe una notificación de correo electrónico y / o sms al empleado cuando se realiza una reserva. Cada empleado puede acceder al Programador de citas y gestionar sus reservas solamente.
858;employee_notes;Notes;Notas
859;employee_is_subscribed;Send email when new booking is made;Enviar correo electrónico cuando se realiza una nueva reserva
860;employee_password;Password;Contraseña
861;error_bodies_ARRAY_AE01;All the changes made to this employee have been saved.;Todos los cambios realizados a este empleado se han guardado.
862;error_titles_ARRAY_AE01;Employee updated!;Empleado actualizado!
863;error_titles_ARRAY_AE03;Employee added!;Empleado añadió!
864;error_bodies_ARRAY_AE03;All the changes made to this employee have been saved.;Todos los cambios realizados a este empleado se han guardado.
865;error_bodies_ARRAY_AE08;Employee your are looking for is missing.;Falta el empleado que está buscando.
866;error_titles_ARRAY_AE08;Employee not found.;Empleado no encontrado.
867;error_titles_ARRAY_AE04;Employee failed to add.;El empleado no se pudo añadir.
868;error_bodies_ARRAY_AE04;We are sorry, but the employee has not been added.;Lo sentimos, pero el empleado no ha sido añadido.
869;employee_last_login;Last login;Último inicio de sesión
870;menuTime;Working Time;Horario de trabajo
871;error_titles_ARRAY_AT01;Working Time updated!;Horarios de trabajo actualizados!
872;error_bodies_ARRAY_AT01;All the changes made to working time have been saved.;Todos los cambios realizados en el horario de trabajo se han guardado.
873;error_titles_ARRAY_AT02;Custom Working Time saved!;¡Horario de trabajo personalizado guardado!
874;error_bodies_ARRAY_AT02;All the changes made to custom working time have been saved.;Se han guardado todos los cambios realizados en el horario de trabajo personalizado.
875;error_titles_ARRAY_AT03;Custom Working Time updated!;¡Horario de trabajo personalizado actualizado!
876;error_bodies_ARRAY_AT03;All the changes made to custom working time have been saved.;Se han guardado todos los cambios realizados en el horario de trabajo personalizado.
877;error_titles_ARRAY_AT04;Working Time;Horario de trabajo
878;error_bodies_ARRAY_AT04;Different working time can be set for each day of the week. You can also set days off and a lunch break. Under Edit Employee page you can set up custom working time for each of your employees.;Se puede configurar un horario de trabajo diferente para cada día de la semana. También puede establecer días libres y horarios de almuerzo. En la página Editar empleado puede configurar el horario de trabajo personalizado para cada uno de sus empleados.
879;time_update_custom;Update custom;Actualización personalizada
880;time_default;Default;Predeterminado
881;time_custom;Custom;Personalizar
882;time_day;Day of week;Día de la semana
883;time_from;Start Time;Hora de inicio
884;time_to;End Time;Hora de finalizacion
885;time_is;Is Day off;Es el día libre
886;time_date;Date;Fecha
887;employee_general;General;General
888;time_default_wt;Default Working Time;Horario de trabajo predeterminado
889;time_custom_wt;Custom Working Time;Horario de trabajo personalizado
890;time_lunch_from;Lunch from;Almuerzo desde
891;time_lunch_to;Lunch to;Almuerzo hasta
892;menuInstall;Install;Instalar
893;menuPreview;Preview;Vista previa
894;menuBookings;Bookings;Reservas
895;menuGeneral;General;General
896;menuPayments;Payments;Pagos
897;menuBookingForm;Booking form;Formulario de reserva
898;menuConfirmation;Confirmation;Confirmación
899;menuTerms;Terms;Terminos y condiciones
900;opt_o_bf_address_1;Address 1;Dirección 1
901;opt_o_bf_captcha;Captcha;Captcha
902;opt_o_bf_city;City;Ciudad
903;opt_o_bf_email;Email;Correo
904;opt_o_bf_name;Name;Nombre
905;opt_o_bf_notes;Notes;Nota
906;opt_o_bf_phone;Phone;Teléfono
907;opt_o_bf_state;State;Departamento
908;opt_o_bf_terms;Terms;Terminos y condiciones
909;opt_o_bf_zip;Zip;Codigo postal
910;opt_o_bf_country;Country;Pais
911;opt_o_paypal_address;Paypal address;Dirección de Paypal
912;opt_o_accept_bookings;Accept Bookings;Aceptar reservas
913;opt_o_allow_authorize;Allow payments with Authorize.net;Permitir pagos con Authorize.net
914;opt_o_allow_bank;Provide Bank account details for wire transfers;Proporcione los detalles de la cuenta bancaria para las transferencias bancarias
915;opt_o_allow_cash;Allow payment with cash;Permitir el pago en efectivo
916;opt_o_allow_creditcard;Collect Credit Card details for offline processing;Recopilar detalles de la tarjeta de crédito para el procesamiento sin conexión
917;opt_o_allow_paypal;Allow payments with PayPal;Permitir pagos con PayPal
918;opt_o_authorize_key;Authorize.net transaction key;Clave de transacción Authorize.net
919;opt_o_authorize_mid;Authorize.net merchant ID;ID de comerciante de Authorize.net
920;opt_o_bank_account;Bank account;Cuenta bancaria
921;opt_o_deposit;Set deposit amount to be collected for each appointment;Fije el monto del depósito que se cobrará por cada cita
922;opt_o_disable_payments;Check if you want to disable payments and only collect reservation details;Compruebe si desea deshabilitar los pagos y solo recopile los detalles de la reserva
923;opt_o_status_if_not_paid;Default status for booked dates if not paid;Estado predeterminado para las fechas reservadas si no se paga
924;opt_o_status_if_paid;Default status for booked dates if paid;Estado predeterminado para las fechas reservadas si se paga
925;opt_o_tax;Tax amount to be collected for each appointment;Importe del impuesto que se cobrará por cada cita
926;opt_o_thankyou_page;URL for the web page where your clients will be redirected after online payment;URL de la página web donde sus clientes serán redirigidos después del pago en línea
927;opt_o_authorize_tz;Authorize.net time zone;Authorize.net la zona horaria
928;opt_o_email_new_reservation;New reservation received;Nueva reserva recibida
929;opt_o_email_reservation_cancelled;Reservation cancelled;Reserva cancelada
930;opt_o_email_password_reminder;Password reminder;Recordatorio de contraseña
931;opt_o_bf_address_2;Address 2;Dirección 2
932;opt_o_datetime_format;Date/Time format;Formato de fecha/hora
933;opt_o_authorize_hash;Authorize.net hash value;Valor hash de Authorize.net
934;confirmation_subject;Subject;Tema
935;confirmation_body;Email body;Cuerpo de correo electrónico
936;confirmation_client_confirmation;Client - booking confirmation email;Cliente - correo electrónico de confirmación de reserva
937;confirmation_client_payment;Client - payment confirmation email;Cliente - correo electrónico de confirmación de pago
938;confirmation_admin_confirmation;Admin - booking confirmation email;Administrador - correo electrónico de confirmación de reserva
939;confirmation_admin_payment;Admin - payment confirmation email;Administrador - correo electrónico de confirmación de pago
940;lblOptionsTermsURL;Booking terms URL;URL de términos y condiciones de la reserva
941;lblOptionsTermsContent;Booking terms content;Términos y condiciones del contenido de la reserva
942;booking_add;Add booking;Añadir reserva
943;booking_statuses_ARRAY_confirmed;Confirmed;Confirmada
944;booking_statuses_ARRAY_pending;Pending;Pendiente
945;booking_statuses_ARRAY_cancelled;Cancelled;Cancelada
946;booking_uuid;Unique ID;ID unico
947;booking_status;Status;Estatus
948;booking_update;Update booking;Actualizar reserva
949;booking_cc_exp;CC Exp.date;CC fecha de exp.
950;booking_cc_code;CC Code;CC codigo
951;booking_cc_num;CC Number;CC numero
952;booking_cc_type;CC Type;CC tipo
953;booking_cc_types_ARRAY_maestro;Maestro;Maestro
954;booking_cc_types_ARRAY_amex;AmericanExpress;AmericanExpress
955;booking_cc_types_ARRAY_mastercard;MasterCard;MasterCard
956;booking_cc_types_ARRAY_visa;Visa;Visa
957;booking_phone;Phone;Teléfono
958;booking_email;Email;Correo
959;booking_invoice_details;Invoice details;Detalles de la factura
960;booking_create_invoice;Create Invoice;Crear factura
961;booking_customer;Customer details;Detalles del cliente
962;booking_notes;Notes;Nota
963;booking_address_2;Address Line 2;Dirección Línea 2
964;booking_address_1;Address Line 1;Dirección Línea 1
965;booking_name;Name;Nombre
966;booking_zip;Zip;Codigo postal
967;booking_city;City;Ciudad
968;booking_state;State;Departamento
969;booking_country;Country;Pais
970;booking_tab_client;Client;Cliente
971;booking_tab_details;Booking;Reserva
972;booking_general;Booking details;Detalles de la reserva
973;booking_choose;-- Choose --;** Seleccionar **
974;booking_payment_method;Payment method;Forma de pago
975;booking_price;Price;Precio
976;booking_tax;Tax;Impuesto
977;booking_deposit;Deposit;Deposito
978;booking_total;Total;Total
979;booking_created;Created;Creado
980;payment_methods_ARRAY_bank;Bank account;Cuenta bancaria
981;payment_methods_ARRAY_creditcard;Credit card;Tarjeta de crédito o debito
982;payment_methods_ARRAY_paypal;Paypal;PayPal
983;error_titles_ARRAY_AO24;Booking form;Formulario de reserva
984;error_titles_ARRAY_AO25;Confirmation;Confirmación
985;error_titles_ARRAY_AO26;Terms;Terminos y condiciones
986;error_bodies_ARRAY_AO24;Choose the fields that should be available on the booking form.;Elija los campos que deben estar disponibles en el formulario de reserva.
987;error_bodies_ARRAY_AO25;Email notifications will be sent to people who make a booking after the booking form is completed or/and payment is made. If you leave subject field blank no email will be sent.;Las notificaciones por correo electrónico se enviarán a las personas que realicen una reserva después de completar el formulario de reserva o / y el pago se realiza. Si deja el campo de asunto en blanco, no se enviará ningún correo electrónico.
988;error_bodies_ARRAY_AO26;Enter booking terms and conditions. You can also include a link to external web page where your terms and conditions page is.;Introduzca los términos y condiciones de la reserva. También puede incluir un enlace a la página web externa donde se encuentra su página de términos y condiciones.
989;error_bodies_ARRAY_AO27;Set different payment options for your Appointment Scheduler software. Enable or disable the available payment processing companies.;Establezca diferentes opciones de pago para su software Appointment Scheduler. Activar o desactivar las empresas de procesamiento de pagos disponibles.
990;error_titles_ARRAY_AO27;Booking payment options;Opciones de pago de reserva
991;error_bodies_ARRAY_AO23;Here you can set some general options about the booking process.;Aquí puede establecer algunas opciones generales sobre el proceso de reserva.
992;error_titles_ARRAY_AO23;Booking options;Opciones de reserva
993;error_bodies_ARRAY_AO21;Set-up general settings;Configuración de ajustes generales
994;error_titles_ARRAY_AO21;General options;Opciones generales
995;opt_o_hide_prices;Hide prices;Ocultar precios
996;opt_o_step;Step (in minutes);Intervalo (en minutos)
997;booking_services;Services;Servicio
998;employee_avatar;Picture;Imagen
999;employee_avatar_delete;Delete picture;Eliminar imagen
1000;employee_avatar_dtitle;Delete confirmation;Eliminar confirmación
1001;employee_avatar_dbody;Are you sure you want to delete this picture?;¿Está seguro de que desea eliminar esta imagen?
1002;lblInstallJs1_title;Install instructions;Instrucciones de instalación
1003;lblInstallJs1_body;In order to install the script on your website copy the code below and add it to your web page.;Para instalar el script en su sitio web, copie el siguiente código y agréguelo a su página web.
1004;lblInstallJs1_1;Install Code;Código de instalación
1005;lblInstallJs1_2;Step 2 (Optional) - for SEO purposes and better ranking you need to put next meta tag into the HEAD part of your page;Paso 2 (Opcional) - para propósitos de SEO y una mejor clasificación, usted necesita poner la siguiente etiqueta meta en la parte HEAD de su página
1006;lblInstallJs1_3;Step 3 (Optional) - for SEO purposes and better ranking you need to create a .htaccess file (or update existing one) with data below. Put the file in the same folder as your webpage.;Paso 3 (Opcional) - para fines de SEO y una mejor clasificación que necesita para crear un .htaccess (o actualizar uno existente) con los datos a continuación. Coloque el archivo en la misma carpeta que su página web.
1007;opt_o_seo_url;Use SEO URLs;Usar URL SEO
1008;opt_o_week_numbers;Show week numbers;Mostrar números de la semana
1009;co_captcha;Captcha;Captcha
1010;co_select_country;Select Country;Seleccione País
1011;co_terms;I agree with terms and conditions;Estoy de acuerdo con los términos y condiciones
1012;co_empty_notice;Please go back to your basket.;Por favor, vuelva a su carrito de reservas.
1013;front_select_payment;Select Payment method;Seleccionar método de pago
1014;front_select_cc_type;Select CC Type;Seleccione el tipo CC
1015;booking_employee;Employee;Empleado
1016;booking_service;Service;Servicio
1017;booking_from;From;De
1018;booking_to;To;A
1019;booking_query;Search for;Buscar por
1020;booking_date;Date;Fecha
1021;booking_export;Export selected;Exportación seleccionada
1022;booking_delimiter_ARRAY_comma;Comma;Coma
1023;booking_delimiter_ARRAY_semicolon;Semicolon;Punto y coma
1024;booking_delimiter_ARRAY_tab;Tab;Tab
1025;booking_format_ARRAY_csv;CSV;CSV
1026;booking_format_ARRAY_xml;XML;XML
1027;booking_format_ARRAY_ical;iCal;iCal
1028;booking_delimiter_lbl;Delimiter;Delimitador
1029;booking_format_lbl;Format;Formato
1030;booking_na;Not Available;No disponible
1031;booking_export_title;Export Bookings;Exportar reservas
1032;booking_dt;Date/Time;Fecha/Hora
1033;booking_service_employee;Service/Employee;Servicio/Empleado
1034;menuReminder;Reminder;Recordatorio
1035;opt_o_reminder_email_enable;Enable Email reminder;Habilitar recordatorio de correo electrónico
1036;opt_o_reminder_email_before;Set number of hours before the booking start time when an email reminder will be sent;Establezca el número de horas antes de la hora de inicio de la reserva cuando se enviará un recordatorio por correo electrónico
1037;opt_o_reminder_subject;Email Reminder subject;Asunto de recordatorio de correo electrónico
1038;opt_o_reminder_sms_enable;Enable SMS reminder;Habilitar recordatorio de mensajes SMS
1039;opt_o_reminder_sms_hours;Set number of hours before the booking start time when an SMS reminder will be sent;Establezca el número de horas antes de la hora de inicio de la reserva cuando se enviará un recordatorio por SMS
1040;opt_o_reminder_sms_message;SMS message;Mensaje SMS
1041;opt_o_reminder_body;Email Reminder body;Cuerpo de recordatorio de correo electrónico
1042;get_key;Get key;Obtener llave
1043;error_bodies_ARRAY_AO28;You can send email and sms reminders to your clients X hours before their booking.;Puede enviar recordatorios de correo electrónico y sms a sus clientes X horas antes de su reserva.
1044;error_titles_ARRAY_AO28;Reminder options;Opciones de recordatorio
1045;error_titles_ARRAY_ABK01;Booking updated;Reserva actualizada
1046;error_bodies_ARRAY_ABK01;All changes made to the booking has been saved.;Todos los cambios realizados en la reserva se han guardado.
1047;error_titles_ARRAY_ABK08;Booking not found;Reserva no encontrada
1048;error_bodies_ARRAY_ABK08;Sorry, but the booking you're looking for is missing.;Lo sentimos, pero falta la reserva que estás buscando.
1049;error_titles_ARRAY_ABK03;Booking added;Reserva añadida
1050;error_bodies_ARRAY_ABK03;The booking has been successfully added.;La reserva se ha añadido correctamente.
1051;error_titles_ARRAY_ABK04;Booking not added;Reserva no agregada
1052;error_bodies_ARRAY_ABK04;Sorry, but the booking has not been added.;Lo sentimos, pero la reserva no ha sido agregada.
1053;error_bodies_ARRAY_ABK10;Fill in the form below to add a new booking. Under Clients tab you can enter information about the client. ;Rellene el siguiente formulario para añadir una nueva reserva. En la pestaña Clientes puede ingresar información sobre el cliente.
1054;error_titles_ARRAY_ABK10;Add a booking;Añadir una reserva
1055;error_titles_ARRAY_ABK11;Client details;Detalles del cliente
1056;error_bodies_ARRAY_ABK11;Use the form below to enter details about your client.;Utilice el siguiente formulario para introducir detalles sobre su cliente.
1057;error_bodies_ARRAY_ABK13;Use form below to update client related data.;Utilice el siguiente formulario para actualizar los datos relacionados con el cliente.
1058;error_titles_ARRAY_ABK13;Client details;Detalles del cliente
1059;error_bodies_ARRAY_ABK12;Use form below to update booking details.;Utilice el siguiente formulario para actualizar los detalles de la reserva.
1060;error_titles_ARRAY_ABK12;Booking update;Actualización de la reserva
1061;error_bodies_ARRAY_AO08;All the changes made to reminder have been saved.;Todos los cambios realizados en el recordatorio se han guardado.
1062;error_titles_ARRAY_AO08;Reminder updated!;Recordatorio actualizado!
1063;error_bodies_ARRAY_AO06;All the changes made to terms have been saved.;Todos los cambios realizados en los términos y condiciones se han guardado.
1064;error_titles_ARRAY_AO06;Terms updated!;Términos y condiciones actualizados!
1065;error_titles_ARRAY_AO05;Confirmation updated!;Confirmación actualizada!
1066;error_bodies_ARRAY_AO05;All the changes made to confirmation have been saved.;Se han guardado todos los cambios realizados en la confirmación.
1067;error_bodies_ARRAY_AO04;All the changes made to booking form have been saved.;Todos los cambios realizados en el formulario de reserva se han guardado.
1068;error_titles_ARRAY_AO04;Booking form updated!;Formulario de reserva actualizado!
1069;error_titles_ARRAY_AO07;Payment options updated!;Opciones de pago actualizadas!
1070;error_bodies_ARRAY_AO07;All the changes made to payment options have been saved.;Se han guardado todos los cambios realizados en las opciones de pago.
1071;error_bodies_ARRAY_AO03;All the changes made to booking options have been saved.;Se han guardado todos los cambios realizados en las opciones de reserva.
